2017-02-15 21:03:13,251 - logger1 - INFO - read parameters successful
2017-02-15 21:03:13,298 - logger1 - INFO - create input_data_dict successful
2017-02-15 21:03:13,298 - logger1 - INFO - feature_pos_dict: defaultdict(<function GeneticAlgorithm.create_feature_pos_dict.<locals>.<lambda> at 0x000000EC9BAC8730>, {'9': {'name': 'percent_change_volume_over_last_wek', 'pos': [(15, 16), (16, 18), (18, 19), (19, 27), (27, 31)]}, '8': {'name': 'percent_change_price', 'pos': [(0, 1), (1, 3), (3, 4), (4, 8), (8, 15)]}, '15': {'name': 'percent_return_next_dividend', 'pos': [(41, 42), (42, 44), (44, 44), (44, 46), (46, 56)]}, '14': {'name': 'days_to_next_dividend', 'pos': [(31, 32), (32, 34), (34, 34), (34, 41), (41, 41)]}})
2017-02-15 21:03:13,298 - logger1 - DEBUG - ============get_classification_result START!!============
2017-02-15 21:03:13,298 - logger1 - DEBUG - chromosome_bits: [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]
2017-02-15 21:03:13,298 - logger1 - DEBUG - solution name: 0
2017-02-15 21:03:13,298 - logger1 - DEBUG - date:2011-01-14, stock:XOM, feature_name:percent_change_volume_over_last_wek, data_feature_value:-26.89580899, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,298 - logger1 - DEBUG - date:2011-01-14, stock:XOM, feature_name:percent_change_price, data_feature_value:3.60708, solution_feature_value:3.3, is_satisfied:False
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:XOM, feature_name:percent_return_next_dividend, data_feature_value:0.565262, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:XOM, feature_name:days_to_next_dividend, data_feature_value:45.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:JNJ, feature_name:percent_change_volume_over_last_wek, data_feature_value:-39.50570645, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:JNJ, feature_name:percent_change_price, data_feature_value:0.417402, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:JNJ, feature_name:percent_return_next_dividend, data_feature_value:0.863309, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:JNJ, feature_name:days_to_next_dividend, data_feature_value:42.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:VZ, feature_name:percent_change_volume_over_last_wek, data_feature_value:-7.980318796, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:VZ, feature_name:percent_change_price, data_feature_value:-2.98222, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:VZ, feature_name:percent_return_next_dividend, data_feature_value:1.38184, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:VZ, feature_name:days_to_next_dividend, data_feature_value:82.0, solution_feature_value:75, is_satisfied:False
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:WMT, feature_name:percent_change_volume_over_last_wek, data_feature_value:-23.82289137, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,313 - logger1 - DEBUG - date:2011-01-14, stock:WMT, feature_name:percent_change_price, data_feature_value:2.16216, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:WMT, feature_name:percent_return_next_dividend, data_feature_value:0.675059, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:WMT, feature_name:days_to_next_dividend, data_feature_value:54.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:DIS, feature_name:percent_change_volume_over_last_wek, data_feature_value:-56.1924641, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:DIS, feature_name:percent_change_price, data_feature_value:0.717765, solution_feature_value:3.3, is_satisfied:True
