('2014-03-20', 'USD_CAD')
('2014-03-24', 'USD_JPY')
('2014-03-25', 'USD_JPY')
('2014-03-28', 'USD_CHF')
('2014-04-01', 'AUD_USD')
('2014-04-02', 'USD_JPY')
('2014-04-06', 'USD_CAD')
('2014-04-10', 'EUR_USD')
('2014-04-13', 'USD_CAD')
('2014-04-14', 'USD_CHF')
('2014-04-15', 'EUR_USD')
('2014-04-17', 'GBP_USD')
('2014-04-20', 'GBP_USD')
('2014-04-21', 'USD_CHF')
('2014-04-22', 'USD_CAD')
('2014-04-24', 'EUR_USD')
('2014-04-27', 'GBP_USD')
('2014-04-30', 'USD_CAD')
('2014-05-01', 'USD_CAD')
('2014-05-04', 'EUR_USD')
('2014-05-06', 'USD_CAD')
('2014-05-11', 'EUR_USD')
('2014-05-12', 'AUD_USD')
('2014-05-14', 'USD_CHF')
('2014-05-15', 'USD_JPY')
('2014-05-19', 'USD_CHF')
('2014-05-20', 'USD_CAD')
('2014-05-22', 'AUD_USD')
('2014-05-25', 'USD_JPY')
('2014-05-26', 'EUR_USD')
('2014-05-28', 'EUR_USD')
('2014-05-29', 'AUD_USD')
('2014-06-02', 'GBP_USD')
('2014-06-03', 'GBP_USD')
('2014-06-05', 'GBP_USD')
('2014-06-08', 'GBP_USD')
('2014-06-09', 'USD_CAD')
('2014-06-10', 'AUD_USD')
('2014-06-12', 'EUR_USD')
('2014-06-15', 'GBP_USD')
('2014-06-18', 'AUD_USD')
('2014-06-19', 'USD_CHF')
('2014-06-23', 'USD_JPY')
('2014-06-24', 'GBP_USD')
('2014-06-29', 'USD_CAD')
('2014-07-03', 'GBP_USD')
('2014-07-07', 'USD_CHF')
('2014-07-09', 'USD_CAD')
('2014-07-10', 'USD_CHF')
('2014-07-15', 'USD_JPY')
('2014-07-16', 'EUR_USD')
('2014-07-17', 'GBP_USD')
('2014-07-20', 'USD_CAD')
('2014-07-21', 'USD_CAD')
('2014-07-23', 'EUR_USD')
('2014-07-27', 'GBP_USD')
('2014-07-30', 'USD_CHF')
('2014-07-31', 'USD_CAD')
('2014-08-03', 'USD_JPY')
('2014-08-04', 'USD_JPY')
('2014-08-11', 'USD_CAD')
('2014-08-12', 'EUR_USD')
('2014-08-13', 'EUR_USD')
('2014-08-14', 'AUD_USD')
('2014-08-21', 'USD_CAD')
('2014-08-25', 'USD_JPY')
('2014-08-27', 'USD_CHF')
('2014-08-31', 'AUD_USD')
('2014-09-01', 'EUR_USD')
('2014-09-02', 'GBP_USD')
('2014-09-03', 'AUD_USD')
('2014-09-04', 'USD_CAD')
('2014-09-08', 'USD_CAD')
('2014-09-10', 'EUR_USD')
('2014-09-15', 'EUR_USD')
('2014-09-21', 'USD_CHF')
('2014-09-22', 'USD_JPY')
('2014-09-23', 'USD_CAD')
('2014-09-28', 'USD_JPY')
('2014-10-06', 'GBP_USD')
('2014-10-07', 'USD_JPY')
('2014-10-12', 'USD_CAD')
('2014-10-15', 'USD_CAD')
('2014-10-16', 'GBP_USD')
('2014-10-21', 'AUD_USD')
('2014-10-22', 'AUD_USD')
('2014-10-27', 'AUD_USD')
('2014-10-28', 'GBP_USD')
('2014-10-30', 'USD_CAD')
('2014-11-03', 'USD_CHF')
('2014-11-05', 'USD_CAD')
('2014-11-12', 'USD_CAD')
('2014-11-13', 'AUD_USD')
('2014-11-17', 'USD_CAD')
('2014-11-18', 'AUD_USD')
('2014-11-19', 'EUR_USD')
('2014-11-20', 'USD_JPY')
('2014-11-26', 'USD_CAD')
('2014-11-28', 'EUR_USD')
('2014-12-04', 'AUD_USD')
('2014-12-09', 'AUD_USD')
('2014-12-12', 'AUD_USD')
('2014-12-15', 'AUD_USD')
('2014-12-16', 'AUD_USD')
('2014-12-17', 'USD_CAD')
('2014-12-18', 'USD_JPY')
('2014-12-24', 'AUD_USD')
('2014-12-26', 'GBP_USD')
('2014-12-30', 'EUR_USD')
('2014-12-31', 'GBP_USD')
('2015-01-05', 'USD_CHF')
('2015-01-12', 'USD_JPY')
('2015-01-14', 'USD_CAD')
('2015-01-16', 'AUD_USD')
('2015-01-21', 'GBP_USD')
('2015-01-27', 'AUD_USD')
('2015-01-30', 'USD_CHF')
('2015-02-04', 'USD_CHF')
('2015-02-06', 'AUD_USD')
('2015-02-09', 'EUR_USD')
('2015-02-10', 'AUD_USD')
('2015-02-11', 'EUR_USD')
('2015-02-13', 'USD_JPY')
('2015-02-17', 'GBP_USD')
('2015-02-18', 'AUD_USD')
('2015-02-19', 'AUD_USD')
('2015-02-20', 'EUR_USD')
('2015-02-24', 'EUR_USD')
('2015-02-25', 'USD_JPY')
('2015-02-27', 'EUR_USD')
('2015-03-03', 'GBP_USD')
('2015-03-04', 'AUD_USD')
('2015-03-13', 'USD_JPY')
('2015-03-16', 'USD_JPY')
('2015-03-24', 'AUD_USD')
('2015-03-25', 'USD_CHF')
('2015-03-26', 'GBP_USD')
('2015-03-27', 'USD_JPY')
('2015-03-30', 'USD_CAD')
('2015-03-31', 'GBP_USD')
('2015-04-01', 'GBP_USD')
('2015-04-05', 'USD_CAD')
('2015-04-08', 'AUD_USD')
('2015-04-12', 'USD_JPY')
('2015-04-16', 'AUD_USD')
('2015-04-19', 'USD_CAD')
('2015-04-20', 'USD_CHF')
('2015-04-22', 'GBP_USD')
('2015-04-26', 'EUR_USD')
('2015-04-27', 'USD_CHF')
('2015-04-28', 'USD_CAD')
('2015-04-30', 'EUR_USD')
('2015-05-03', 'USD_CHF')
('2015-05-04', 'USD_CAD')
('2015-05-07', 'USD_JPY')
('2015-05-10', 'USD_CAD')
('2015-05-13', 'USD_JPY')
('2015-05-19', 'USD_CHF')
('2015-05-20', 'EUR_USD')
('2015-05-24', 'AUD_USD')
('2015-05-26', 'AUD_USD')
('2015-05-27', 'USD_JPY')
('2015-05-28', 'USD_CHF')
('2015-06-02', 'USD_CHF')
('2015-06-03', 'USD_CHF')
('2015-06-08', 'EUR_USD')
('2015-06-10', 'USD_CHF')
('2015-06-14', 'USD_CHF')
('2015-06-15', 'USD_JPY')
('2015-06-16', 'USD_JPY')
('2015-06-18', 'GBP_USD')
('2015-06-22', 'USD_CAD')
('2015-06-23', 'USD_JPY')
('2015-06-24', 'EUR_USD')
('2015-06-25', 'GBP_USD')
('2015-06-28', 'USD_JPY')
('2015-07-01', 'GBP_USD')
('2015-07-05', 'USD_CHF')
('2015-07-06', 'USD_JPY')
('2015-07-07', 'USD_CHF')
('2015-07-08', 'GBP_USD')
('2015-07-09', 'AUD_USD')
('2015-07-13', 'EUR_USD')
('2015-07-14', 'GBP_USD')
('2015-07-16', 'USD_CAD')
('2015-07-19', 'EUR_USD')
('2015-07-20', 'GBP_USD')
('2015-07-21', 'USD_CHF')
('2015-07-22', 'USD_JPY')
